Sale_Date,State,City,Car_Model,Car_Type,Unit_Price_Naira,Quantity,Discount_Percent,Revenue_Naira,Customer_Type,Delivery_Date,Delivery_Status,Delivery_Time_Hours,Warehouse,Driver,Car_Age,Region,Sales_Rep,Brand
2021-01-01,Ondo,Owo,Sonata,Foreign Used,16857142,1,9.27,15294484.9366,Individual,2021-01-06,On-Time,35,Lagos,Emmanuel,7,South West,Uche,Hyundai
2021-01-01,Kano,Wudil,Camry,Foreign Used,23428571,1,4.5,22374285.305,Individual,2021-01-03,Delayed,74,Lagos,Paul,5,North,Tunde,Toyota
2021-01-01,Lagos,Surulere,Camry,Foreign Used,13571428,1,3.68,13071999.4496,Individual,2021-01-09,On-Time,10,Lagos,Paul,8,South West,Funke,Toyota
2021-01-01,Imo,Orlu,Highlander,Foreign Used,16857142,1,10.74,15046684.9492,Individual,2021-01-06,On-Time,44,Lagos,Emmanuel,7,South East,Tunde,Toyota
2021-01-02,Benue,Otukpo,Elantra,Foreign Used,6000000,1,9.21,5447400.0,Individual,2021-01-04,Delayed,59,Lagos,Paul,10,North,Ade,Hyundai
2021-01-02,Edo,Auchi,Sonata,Nigerian Used,9250000,1,4.5,8833750.0,Individual,2021-01-06,On-Time,32,Lagos,John,6,South South,Ade,Hyundai
2021-01-02,Lagos,Alimosho,CR-V,Foreign Used,22285714,2,4.5,42565713.739999995,Individual,2021-01-10,On-Time,15,Lagos,Tayo,5,South West,Uche,Honda
2021-01-02,Ondo,Owo,Highlander,Nigerian Used,5500000,1,4.5,5252500.0,Individual,2021-01-10,On-Time,28,Lagos,Bright,11,South West,Emeka,Toyota
2021-01-03,Bayelsa,Brass,Corolla,Nigerian Used,7000000,1,4.5,6685000.0,Individual,2021-01-06,Delayed,56,Lagos,Mike,9,South South,Tunde,Toyota
2021-01-03,Oyo,Ibadan South,Sonata,Foreign Used,20142857,1,11.2,17886857.016,Individual,2021-01-08,On-Time,27,Lagos,John,6,South West,Uche,Hyundai
2021-01-04,Lagos,Ikeja,Elantra,Nigerian Used,7700000,1,9.22,6990060.0,Individual,2021-01-11,On-Time,9,Lagos,Paul,7,South West,Sola,Hyundai
2021-01-04,Ekiti,Ijero,Rio,Nigerian Used,6000000,1,4.5,5730000.0,Individual,2021-01-06,On-Time,30,Lagos,Paul,7,South West,Bola,KIA
2021-01-04,FCT,Abuja,Sonata,Nigerian Used,3250000,1,4.5,3103750.0,Individual,2021-01-06,Delayed,67,Lagos,Tayo,14,North,Chidi,Hyundai
2021-01-05,Katsina,Katsina City,Rav4,Foreign Used,16857142,1,4.78,16051370.6124,Individual,2021-01-07,Delayed,87,Lagos,Bright,7,North,Emeka,Toyota
2021-01-05,Benue,Katsina-Ala,Camry,Nigerian Used,4750000,1,4.5,4536250.0,Individual,2021-01-06,Delayed,59,Lagos,John,12,North,Ngozi,Toyota
