Sale_Date,State,City,Car_Brand,Car_Model,Car_Type,Unit_Price_Naira,Quantity,Discount_Percent,Revenue_Naira,Customer_Type,Delivery_Date,Delivery_Status,Delivery_Time_Hours,Warehouse,Driver,Car_Age,Region,Sales_Rep
2024-11-17,Kano,Dambatta,Benz,GLE 450,Foreign Used,23571428,1,12.26,20681570.9272,Individual,2024-11-26,Delayed,13,Lagos,Peter,8,North,Uche
2021-03-21,Ondo,Ondo,Toyota,Corolla,Nigerian Used,4000000,2,2.96,7763200.0,Individual,2021-03-30,On-Time,9,Lagos,Tayo,13,South West,Ade
2024-09-24,Bayelsa,Yenagoa,Hyundai,Santa Fe,Nigerian Used,7700000,3,17.28,19108320.0,Individual,2024-10-02,Delayed,9,Lagos,Segun,7,South South,Sola
2021-05-20,Lagos,Lekki,Toyota,Rav4,Nigerian Used,5500000,1,15.69,4637050.0,Individual,2021-05-28,Delayed,6,Lagos,David,11,South West,Ngozi
2023-04-17,Bayelsa,Ogbia,Honda,CR-V,Foreign Used,28000000,1,16.33,23427600.0,Individual,2023-04-25,On-Time,3,Lagos,Segun,3,South South,Ngozi
2022-06-21,Lagos,Epe,Hyundai,Santa Fe,Nigerian Used,9000000,1,19.46,7248600.0,Individual,2022-06-29,Delayed,14,Lagos,Mike,5,South West,Ngozi
2024-09-27,Lagos,Alimosho,Toyota,Rav4,Foreign Used,23428571,1,16.64,19530056.7856,Individual,2024-10-04,Delayed,8,Lagos,Tayo,5,South West,Tunde
2025-10-01,Edo,Auchi,Benz,Sonata,Foreign Used,23571428,1,8.85,21485356.622,Individual,2025-10-07,On-Time,8,Lagos,Paul,8,South South,Emeka
2024-06-24,Lagos,Surulere,Toyota,Sonata,Foreign Used,26714285,1,2.24,26115885.016,Individual,2024-06-29,On-Time,4,Lagos,Chuka,4,South West,Chidi
2025-11-12,Enugu,Nsukka,Honda,Sonata,Nigerian Used,5700000,2,9.93,10267980.0,Individual,2025-11-15,On-Time,10,Lagos,Paul,12,South East,Ngozi
2025-11-15,Enugu,Nsukka,Honda,Civic,Nigerian Used,7500000,1,3.33,7250250.0,Individual,2025-11-24,On-Time,3,Lagos,Tayo,10,South East,Bola
2021-08-03,Ondo,Okitipupa,Benz,E-Class,Foreign Used,40714285,2,11.1,72389998.73,Individual,2021-08-05,On-Time,12,Lagos,Emmanuel,4,South West,Kemi
2022-05-14,Anambra,Ekwulobia,Toyota,Rav4,Nigerian Used,8500000,1,10.7,7590500.0,Individual,2022-05-21,On-Time,14,Lagos,David,7,South East,Uche
2024-01-03,Rivers,Bonny,Toyota,Rav4,Foreign Used,13571428,1,9.15,12329642.338,Individual,2024-01-10,Delayed,4,Lagos,Tayo,8,South South,Funke
2025-11-16,Edo,Benin City,Honda,Civic,Nigerian Used,5700000,1,14.85,4853550.0,Individual,2025-11-18,On-Time,2,Lagos,Peter,12,South South,Funke
2022-06-15,Imo,Orlu,KIA,Rio,Foreign Used,14142857,1,13.12,12287314.1616,Individual,2022-06-22,On-Time,11,Lagos,Peter,5,South East,Tunde
2024-08-16,Lagos,Surulere,Hyundai,Elantra,Foreign Used,16000000,1,4.42,15292800.0,Individual,2024-08-17,On-Time,12,Lagos,Tayo,5,South West,Sola
2021-12-21,Bayelsa,Yenagoa,Toyota,Highlander,Nigerian Used,10000000,1,4.01,9599000.0,Individual,2021-12-26,On-Time,3,Lagos,Bright,5,South South,Ngozi
2022-12-08,Lagos,Epe,Honda,Sonata,Nigerian Used,10200000,1,2.86,9908280.0,Individual,2022-12-09,Delayed,4,Lagos,Segun,7,South West,Kemi
2021-05-27,Imo,Okigwe,Toyota,Camry,Foreign Used,13571428,1,6.84,12643142.3248,Individual,2021-06-02,On-Time,4,Lagos,David,8,South East,Bola
2023-01-02,Lagos,Ikorodu,Honda,Pilot,Nigerian Used,7500000,1,18.45,6116250.0,Individual,2023-01-05,Delayed,9,Lagos,Bright,10,South West,Ngozi
2025-11-13,Bayelsa,Sagbama,Honda,Pilot,Foreign Used,25142857,1,19.6,20214857.028,Individual,2025-11-15,Delayed,5,Lagos,Peter,4,South South,Ngozi
2024-08-16,Benue,Makurdi,Honda,Pilot,Nigerian Used,3000000,1,17.56,2473200.0,Individual,2024-08-22,Delayed,8,Lagos,Mike,15,North,Kemi
2025-08-05,Lagos,Surulere,Honda,Pilot,Nigerian Used,3900000,1,1.79,3830190.0,Individual,2025-08-11,On-Time,11,Lagos,Emmanuel,14,South West,Funke
2025-03-08,Oyo,Ibadan North,Toyota,Rav4,Foreign Used,13571428,1,3.27,13127642.3044,Individual,2025-03-14,On-Time,12,Lagos,Paul,8,South West,Ade
2021-03-18,Lagos,Surulere,Toyota,Highlander,Nigerian Used,6250000,1,6.9,5818750.0,Individual,2021-03-25,On-Time,14,Lagos,Paul,10,South West,Bola
2021-06-13,Rivers,Eleme,Hyundai,Tucson,Foreign Used,10000000,2,0.58,19884000.0,Individual,2021-06-19,On-Time,6,Lagos,Segun,8,South South,Emeka
2022-08-20,Lagos,Ikeja,Benz,GLC 350,Nigerian Used,13200000,1,15.43,11163240.0,Individual,2022-08-21,Delayed,3,Lagos,Chuka,7,South West,Funke
2025-12-05,Lagos,Alimosho,Honda,Civic,Foreign Used,16571428,2,16.52,27667656.1888,Individual,2025-12-13,On-Time,12,Lagos,David,7,South West,Ade
2024-03-14,Osun,Ede,Honda,Civic,Foreign Used,19428571,1,2.41,18960342.4389,Individual,2024-03-20,On-Time,5,Lagos,Segun,6,South West,Sola
2025-11-12,Lagos,Lekki,Toyota,Highlander,Foreign Used,7000000,1,11.99,6160700.0,Individual,2025-11-15,Delayed,12,Lagos,John,10,South West,Ade
2024-09-22,Katsina,Daura,Toyota,Rav4,Foreign Used,23428571,1,1.02,23189599.5758,Individual,2024-09-28,On-Time,13,Lagos,Peter,5,North,Uche
2021-09-01,Imo,Okigwe,Toyota,Highlander,Foreign Used,10285714,1,19.43,8287199.7698,Individual,2021-09-06,On-Time,2,Lagos,Tayo,9,South East,Sola
2021-07-20,Lagos,Ikorodu,Honda,Civic,Foreign Used,25142857,1,12.29,22052799.8747,Individual,2021-07-21,On-Time,4,Lagos,Chuka,4,South West,Kemi
2022-08-25,Anambra,Ekwulobia,Hyundai,Tucson,Nigerian Used,9000000,1,4.46,8598600.0,Individual,2022-08-27,On-Time,13,Lagos,John,5,South East,Kemi
2022-06-03,Imo,Oguta,Honda,CR-V,Foreign Used,22285714,1,9.37,20197542.5982,Individual,2022-06-08,On-Time,12,Lagos,Bright,5,South East,Sola
2021-11-11,Lagos,Ikeja,Hyundai,Elantra,Nigerian Used,6400000,1,10.08,5754880.0,Individual,2021-11-20,On-Time,4,Lagos,Emmanuel,9,South West,Sola
2024-12-27,Imo,Owerri,Honda,Sonata,Foreign Used,28000000,1,7.3,25956000.0,Individual,2025-01-04,On-Time,10,Lagos,Tayo,3,South East,Tunde
2023-04-13,Oyo,Ibadan Central,Toyota,Corolla,Foreign Used,23428571,1,9.77,21139599.6133,Individual,2023-04-16,Delayed,3,Lagos,Bright,5,South West,Sola
2025-07-03,Bayelsa,Sagbama,Toyota,Camry,Foreign Used,13571428,1,0.94,13443856.5768,Individual,2025-07-12,On-Time,12,Lagos,Mike,8,South South,Uche
2024-04-10,Benue,Otukpo,Toyota,Camry,Foreign Used,30000000,2,18.36,48984000.0,Individual,2024-04-19,On-Time,6,Lagos,Emmanuel,3,North,Tunde
2024-09-06,Lagos,Ikorodu,Honda,Pilot,Foreign Used,28000000,1,12.82,24410400.0,Individual,2024-09-09,On-Time,2,Lagos,Tayo,3,South West,Sola
